Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2008,3.1.1 Life expectancy at birth,Kratie,Female,,Years,60.5
2008,3.1.1 Life expectancy at birth,Kratie,Male,,Years,57.0
2008,3.1.1 Life expectancy at birth,Kratie,,,Years,58.7
2008,3.1.1 Life expectancy at birth,Mondul Kiri,Female,,Years,45.5
2008,3.1.1 Life expectancy at birth,Mondul Kiri,Male,,Years,52.5
2008,3.1.1 Life expectancy at birth,Mondul Kiri,,,Years,44.0
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,Female,,Years,60.8
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,Male,,Years,57.2
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,,,Years,59.0
2008,3.1.1 Life expectancy at birth,Pailin,Female,,Years,64.2
2008,3.1.1 Life expectancy at birth,Pailin,Male,,Years,60.4
2008,3.1.1 Life expectancy at birth,Pailin,,,Years,62.3
2008,3.1.1 Life expectancy at birth,Phnom Penh,Female,,Years,70.8
2008,3.1.1 Life expectancy at birth,Phnom Penh,Male,,Years,66.8
2008,3.1.1 Life expectancy at birth,Phnom Penh,,,Years,68.8
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,Female,,Years,54.4
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,Male,,Years,51.3
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,,,Years,52.8
2008,3.1.1 Life expectancy at birth,Preah Vihear,Female,,Years,43.4
2008,3.1.1 Life expectancy at birth,Preah Vihear,Male,,Years,40.5
2008,3.1.1 Life expectancy at birth,Preah Vihear,,,Years,41.9
2008,3.1.1 Life expectancy at birth,Prey Veng,Female,,Years,65.7
2008,3.1.1 Life expectancy at birth,Prey Veng,Male,,Years,61.9
2008,3.1.1 Life expectancy at birth,Prey Veng,,,Years,63.8
2008,3.1.1 Life expectancy at birth,Pursat,Female,,Years,65.1
2008,3.1.1 Life expectancy at birth,Pursat,Male,,Years,61.4
2008,3.1.1 Life expectancy at birth,Pursat,,,Years,63.2
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,Female,,Years,35.0
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,Male,,Years,32.5
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,,,Years,33.7
2008,3.1.1 Life expectancy at birth,Siemreap,Female,,Years,70.0
2008,3.1.1 Life expectancy at birth,Siemreap,Male,,Years,66.1
2008,3.1.1 Life expectancy at birth,Siemreap,,,Years,68.7
2008,3.1.1 Life expectancy at birth,Stung Treng,Female,,Years,54.6
2008,3.1.1 Life expectancy at birth,Stung Treng,Male,,Years,51.5
2008,3.1.1 Life expectancy at birth,Stung Treng,,,Years,53.0
2008,3.1.1 Life expectancy at birth,Svay Rieng,Female,,Years,58.8
2008,3.1.1 Life expectancy at birth,Svay Rieng,Male,,Years,55.3
2008,3.1.1 Life expectancy at birth,Svay Rieng,,,Years,57.0
2008,3.1.1 Life expectancy at birth,Takeo,Female,,Years,64.3
2008,3.1.1 Life expectancy at birth,Takeo,Male,,Years,60.5
2008,3.1.1 Life expectancy at birth,Takeo,,,Years,62.4
2019,3.1.1 Life expectancy at birth,,Female,Urban,Years,77.7
2019,3.1.1 Life expectancy at birth,,Female,Rural,Years,76.4
2019,3.1.1 Life expectancy at birth,,Male,Rural,Years,72.8
2019,3.1.1 Life expectancy at birth,,Male,Urban,Years,73.5
