Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2013,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,99.3
2014,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,94.4
2015,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,95.4
2016,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,91.8
2017,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,95.0
2018,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,96.3
2019,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,100.8
2009,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,98.7
2010,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,93.6
2011,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,104.4
2012,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,109.2
2013,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,101.2
2014,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,99.8
2015,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,94.5
2016,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,90.2
2017,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,89.3
2018,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,92.8
2019,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,95.2
2009,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,97.8
2010,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,94.4
2011,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,100.3
2012,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,102.7
2013,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,100.3
2014,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,97.1
2015,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,94.9
2016,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,91.0
2017,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,92.1
2018,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,94.5
2019,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,98.0
2009,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,94.6
2010,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,89.0
2011,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,101.1
2012,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,98.4
2013,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,99.3
2014,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,97.6
2015,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,91.4
2016,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,86.5
2017,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,83.4
2018,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,85.8
2019,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,84.1
2009,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,96.8
2010,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,95.0
2011,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,105.3
2012,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,110.9
2013,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,101.2
2014,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,96.9
2015,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,90.6
2016,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,86.7
2017,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,81.0
2018,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,81.9
2019,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,76.9
2009,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,95.8
2010,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,92.1
2011,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,103.2
2012,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,104.7
2013,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,100.3
2014,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,97.2
2015,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,91.0
2016,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,86.6
2017,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,82.2
2018,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,83.8
2019,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,80.4
2014,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,88.6
2015,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,87.6
2016,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,90.4
2017,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,86.3
2018,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,91.0
2019,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,90.2
2014,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,82.5
2015,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,78.8
2016,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,80.2
2017,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,80.0
2018,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,78.8
2019,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,81.2
2014,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,85.5
2015,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,83.1
2016,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,85.1
2017,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,83.1
2018,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,84.7
2019,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,85.5
