Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2008,SG_GEN_PARL,,F,PT,18.37
2009,SG_GEN_PARL,,F,PT,18.37
2010,SG_GEN_PARL,,F,PT,17.05
2015,SG_GEN_PARL,,F,PT,17.8
2016,SG_GEN_PARL,,F,PT,17.8
2018,SG_GEN_PARL,,F,PT,25.0
